epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
58,3742.02,0.47552,0.75268,0.56406,0.8966,0,0.87007,0.77864,0.87176,0.67987,0.87007,0.77864,0.85007,0.64625,0.67883,1.14014,0.75775,1.04671,0,0.00058925,0.00058925,0.00058925
59,3805.5,0.49413,0.79871,0.58748,0.88454,0,0.86089,0.79155,0.87645,0.67871,0.86639,0.7907,0.85087,0.63627,0.6723,1.14872,0.75891,1.05506,0,0.0005645,0.0005645,0.0005645
60,3868.31,0.43565,0.71859,0.5445,0.87424,0,0.87573,0.76744,0.8815,0.68904,0.90227,0.7907,0.8667,0.62969,0.67839,1.1713,0.73763,1.07223,0,0.00053975,0.00053975,0.00053975
61,3930.91,0.44146,0.73884,0.54122,0.86829,0,0.77962,0.86047,0.88536,0.69195,0.89444,0.7907,0.87114,0.64414,0.71498,1.212,0.7598,1.10802,0,0.000515,0.000515,0.000515
62,3994.04,0.43551,0.75341,0.53054,0.87716,0,0.91644,0.76519,0.87391,0.69111,0.91296,0.76744,0.86241,0.65654,0.68338,1.20704,0.68926,1.08494,0,0.00049025,0.00049025,0.00049025
63,4057.08,0.46569,0.73465,0.52635,0.88039,0,0.88346,0.79335,0.87789,0.69856,0.8771,0.81395,0.86758,0.66531,0.67645,1.17921,0.68565,1.07354,0,0.0004655,0.0004655,0.0004655
64,4120.63,0.47338,0.76996,0.53806,0.8968,0,0.90722,0.7959,0.87935,0.70618,0.90722,0.7959,0.8711,0.66798,0.67167,1.15988,0.6911,1.07737,0,0.00044075,0.00044075,0.00044075
65,4183.75,0.44043,0.71682,0.54555,0.88433,0,0.84561,0.82558,0.87486,0.70782,0.84561,0.82558,0.86911,0.66663,0.75717,1.18516,0.71683,1.15877,0,0.000416,0.000416,0.000416
66,4246.94,0.43096,0.73052,0.50014,0.87125,0,0.87172,0.79021,0.86653,0.6927,0.87172,0.79021,0.85782,0.65749,0.73981,1.21363,0.73146,1.14017,0,0.00039125,0.00039125,0.00039125
67,4310.08,0.45445,0.76714,0.52414,0.89168,0,0.87663,0.76744,0.87345,0.71386,0.83044,0.82558,0.8665,0.66991,0.66263,1.21781,0.72824,1.06453,0,0.0003665,0.0003665,0.0003665
68,4373.79,0.42442,0.78775,0.52209,0.85722,0,0.86679,0.75664,0.87031,0.71305,0.87833,0.7907,0.86758,0.66944,0.65819,1.22312,0.73132,1.07592,0,0.00034175,0.00034175,0.00034175
69,4436.82,0.41775,0.70948,0.4963,0.87643,0,0.82077,0.80233,0.86321,0.69897,0.89057,0.7907,0.86403,0.66181,0.66663,1.18536,0.72868,1.09502,0,0.000317,0.000317,0.000317
70,4499.93,0.40038,0.70244,0.48163,0.85421,0,0.86206,0.79939,0.85692,0.69214,0.8871,0.82232,0.8596,0.65652,0.67113,1.17418,0.72566,1.10198,0,0.00029225,0.00029225,0.00029225
71,4570.23,0.39988,0.70118,0.52637,0.84484,0,0.88236,0.785,0.84338,0.68554,0.89603,0.80173,0.83962,0.64308,0.69018,1.23333,0.81148,1.10935,0,0.0002675,0.0002675,0.0002675
72,4630.2,0.39377,0.65151,0.46369,0.87273,0,0.85248,0.7907,0.83388,0.67888,0.87756,0.81395,0.83098,0.6407,0.68141,1.25556,0.82361,1.09068,0,0.00024275,0.00024275,0.00024275
73,4690.22,0.38344,0.68265,0.45866,0.85093,0,0.87057,0.78217,0.85025,0.68369,0.89718,0.81173,0.8518,0.64723,0.66396,1.24189,0.7284,1.08211,0,0.000218,0.000218,0.000218
74,4750.36,0.3624,0.64821,0.45389,0.83879,0,0.85441,0.77907,0.85519,0.67788,0.87456,0.80233,0.85391,0.64269,0.67304,1.22623,0.70532,1.08144,0,0.00019325,0.00019325,0.00019325
75,4810.37,0.36293,0.66488,0.44024,0.83942,0,0.87941,0.77907,0.85547,0.68365,0.87248,0.79563,0.85143,0.64532,0.65467,1.23722,0.71299,1.0695,0,0.0001685,0.0001685,0.0001685
76,4870.31,0.36844,0.66115,0.46071,0.84438,0,0.87202,0.76744,0.85379,0.68504,0.87919,0.77907,0.84595,0.64824,0.65015,1.2209,0.71373,1.06248,0,0.00014375,0.00014375,0.00014375
77,4930.14,0.38062,0.62087,0.45209,0.8592,0,0.87306,0.76744,0.86103,0.69172,0.87384,0.77907,0.84936,0.65725,0.64287,1.2052,0.68759,1.05425,0,0.000119,0.000119,0.000119
78,4990.01,0.35339,0.63167,0.40965,0.84804,0,0.87009,0.75581,0.85652,0.70044,0.87807,0.77907,0.8548,0.65765,0.64638,1.20856,0.67718,1.05996,0,9.425e-05,9.425e-05,9.425e-05
79,5049.98,0.36165,0.62727,0.43949,0.84145,0,0.8723,0.76744,0.85867,0.69931,0.87106,0.78553,0.8563,0.66383,0.6504,1.21624,0.6727,1.06446,0,6.95e-05,6.95e-05,6.95e-05
80,5109.8,0.35568,0.63818,0.42905,0.84646,0,0.85783,0.77182,0.86673,0.69851,0.87268,0.79702,0.85744,0.66487,0.65411,1.22422,0.67812,1.07057,0,4.475e-05,4.475e-05,4.475e-05
